FID,longitude,latitude
0,-89.6,14.5
1,-89.5,14.5
2,-89.4,14.5
3,-89.3,14.5
4,-89.6,14.4
5,-89.5,14.4
6,-89.4,14.4
7,-89.3,14.4
8,-89.2,14.4
9,-89.1,14.4
10,-89,14.4
11,-89.6,14.3
12,-89.5,14.3
13,-89.4,14.3
14,-89.3,14.3
15,-89.2,14.3
16,-89.1,14.3
17,-89,14.3
18,-89.7,14.2
19,-89.6,14.2
20,-89.5,14.2
21,-89.4,14.2
22,-89.3,14.2
23,-89.2,14.2
24,-89.1,14.2
25,-89,14.2
26,-88.9,14.2
27,-88.8,14.2
28,-89.9,14.1
29,-89.8,14.1
30,-89.7,14.1
31,-89.6,14.1
32,-89.5,14.1
33,-89.4,14.1
34,-89.3,14.1
35,-89.2,14.1
36,-89.1,14.1
37,-89,14.1
38,-88.9,14.1
39,-88.8,14.1
40,-88.7,14.1
41,-88.6,14.1
42,-90,14
43,-89.9,14
44,-89.8,14
45,-89.7,14
46,-89.6,14
47,-89.5,14
48,-89.4,14
49,-89.3,14
50,-89.2,14
51,-89.1,14
52,-89,14
53,-88.9,14
54,-88.8,14
55,-88.7,14
56,-88.6,14
57,-88.5,14
58,-88.3,14
59,-88.2,14
60,-88.1,14
61,-88,14
62,-87.8,14
63,-90.1,13.9
64,-90,13.9
65,-89.9,13.9
66,-89.8,13.9
67,-89.7,13.9
68,-89.6,13.9
69,-89.5,13.9
70,-89.4,13.9
71,-89.3,13.9
72,-89.2,13.9
73,-89.1,13.9
74,-89,13.9
75,-88.9,13.9
76,-88.8,13.9
77,-88.7,13.9
78,-88.6,13.9
79,-88.5,13.9
80,-88.4,13.9
81,-88.3,13.9
82,-88.2,13.9
83,-88.1,13.9
84,-88,13.9
85,-87.9,13.9
86,-87.8,13.9
87,-87.7,13.9
88,-90.2,13.8
89,-90.1,13.8
90,-90,13.8
91,-89.9,13.8
92,-89.8,13.8
93,-89.7,13.8
94,-89.6,13.8
95,-89.5,13.8
96,-89.4,13.8
97,-89.3,13.8
98,-89.2,13.8
99,-89.1,13.8
100,-89,13.8
101,-88.9,13.8
102,-88.8,13.8
103,-88.7,13.8
104,-88.6,13.8
105,-88.5,13.8
106,-88.4,13.8
107,-88.3,13.8
108,-88.2,13.8
109,-88.1,13.8
110,-88,13.8
111,-87.9,13.8
112,-87.8,13.8
113,-87.7,13.8
114,-90.2,13.7
115,-90.1,13.7
116,-90,13.7
117,-89.9,13.7
118,-89.8,13.7
119,-89.7,13.7
120,-89.6,13.7
121,-89.5,13.7
122,-89.4,13.7
123,-89.3,13.7
124,-89.2,13.7
125,-89.1,13.7
126,-89,13.7
127,-88.9,13.7
128,-88.8,13.7
129,-88.7,13.7
130,-88.6,13.7
131,-88.5,13.7
132,-88.4,13.7
133,-88.3,13.7
134,-88.2,13.7
135,-88.1,13.7
136,-88,13.7
137,-87.9,13.7
138,-87.8,13.7
139,-87.7,13.7
140,-90,13.6
141,-89.9,13.6
142,-89.8,13.6
143,-89.7,13.6
144,-89.6,13.6
145,-89.5,13.6
146,-89.4,13.6
147,-89.3,13.6
148,-89.2,13.6
149,-89.1,13.6
150,-89,13.6
151,-88.9,13.6
152,-88.8,13.6
153,-88.7,13.6
154,-88.6,13.6
155,-88.5,13.6
156,-88.4,13.6
157,-88.3,13.6
158,-88.2,13.6
159,-88.1,13.6
160,-88,13.6
161,-87.9,13.6
162,-87.8,13.6
163,-87.7,13.6
164,-89.9,13.5
165,-89.8,13.5
166,-89.7,13.5
167,-89.6,13.5
168,-89.5,13.5
169,-89.4,13.5
170,-89.3,13.5
171,-89.2,13.5
172,-89.1,13.5
173,-89,13.5
174,-88.9,13.5
175,-88.8,13.5
176,-88.7,13.5
177,-88.6,13.5
178,-88.5,13.5
179,-88.4,13.5
180,-88.3,13.5
181,-88.2,13.5
182,-88.1,13.5
183,-88,13.5
184,-87.9,13.5
185,-87.8,13.5
186,-87.7,13.5
187,-89.3,13.4
188,-89.2,13.4
189,-89.1,13.4
190,-89,13.4
191,-88.9,13.4
192,-88.8,13.4
193,-88.7,13.4
194,-88.6,13.4
195,-88.5,13.4
196,-88.4,13.4
197,-88.3,13.4
198,-88.2,13.4
199,-88.1,13.4
200,-88,13.4
201,-87.9,13.4
202,-87.8,13.4
203,-87.7,13.4
204,-89.1,13.3
205,-89,13.3
206,-88.9,13.3
207,-88.8,13.3
208,-88.7,13.3
209,-88.6,13.3
210,-88.5,13.3
211,-88.4,13.3
212,-88.3,13.3
213,-88.2,13.3
214,-88.1,13.3
215,-88,13.3
216,-87.9,13.3
217,-87.8,13.3
218,-87.7,13.3
219,-88.9,13.2
220,-88.8,13.2
221,-88.7,13.2
222,-88.6,13.2
223,-88.5,13.2
224,-88.4,13.2
225,-88.3,13.2
226,-88.2,13.2
227,-88.1,13.2
228,-88,13.2
229,-87.9,13.2
230,-87.8,13.2
231,-87.7,13.2
232,-87.6,13.2
233,-88.5,13.1
234,-88.4,13.1
235,-88.3,13.1
236,-88.2,13.1
237,-88.1,13.1
238,-88,13.1
239,-87.9,13.1
240,-87.7,13.1
